"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"15.71.149.111",50616,"41.177.26.46",80,512,503339,167,12787,345,490552,117.170356,3.509063999999995,29151.933393064402,1118365.467258507
"15.71.149.241",52924,"41.177.26.15",80,968,1152125,173,12850,795,1139275,19.470298,7.273785,14132.944539878481,1253020.263865374
"15.71.149.241",56148,"41.177.26.15",80,144,154436,35,2718,109,151718,23.998502,0.7112220000000029,30572.732564515594,1706561.3830843184
"15.71.149.241",57186,"41.177.26.15",80,902,1160925,97,6971,805,1153954,29.004546,2.476032,22523.133788254756,3728397.694375517
"15.128.184.13",24176,"41.177.26.46",80,16,7478,8,1153,8,6325,26.1468,5.053976000000002,1825.09770525226,10011.919328465347
"15.128.184.13",24177,"41.177.26.176",80,28,15924,9,1322,19,14602,26.147429,13.345333999999998,792.486722325571,8753.321572918296
"15.128.184.13",37684,"41.177.26.176",80,34,13436,17,1861,17,11575,99.495145,7.5766980000000075,1964.9720762263437,12221.682849177823
"15.128.184.13",37703,"41.177.26.46",80,17,7579,9,1235,8,6344,99.514511,7.601425000000006,1299.7562956945562,6676.642866304668
"15.128.184.13",47992,"41.177.26.176",80,30,16058,10,1392,20,14666,151.087089,11.371426000000014,979.2967038610625,10317.791277892487
"15.128.184.13",48019,"41.177.26.46",80,17,7509,9,1221,8,6288,151.187094,0.6253659999999854,15619.653131126775,80439.29474899686
"15.186.51.17",40917,"41.177.98.79",80,38,25221,18,1707,20,23514,34.148837,0.29155399999999787,46838.66453555808,645204.6619151216
"15.186.110.41",60306,"244.3.210.197",80,26,16004,13,1348,13,14656,10.822067,0.6623849999999987,16280.561908859683,177008.8392702133
"15.186.110.41",60393,"244.3.210.197",80,29,17986,14,1485,15,16501,11.529719,0.6313669999999991,18816.31444152136,209082.83138016428
"15.186.110.41",60461,"244.3.210.197",80,31,20060,15,1524,16,18536,12.10536,0.7830710000000014,15569.469435083125,189367.2476697512
"15.186.110.41",33001,"244.3.210.197",80,32,20848,15,1569,17,19279,19.258015,0.5746150000000014,21844.19132810659,268409.28273713635
"15.186.110.41",34113,"244.3.210.197",80,17,8170,9,1045,8,7125,31.173741,0.20805899999999866,40180.910222581355,273960.75151760015
"15.186.110.41",36422,"244.3.210.197",80,32,20447,15,1498,17,18949,53.80017,0.6210919999999973,19295.048076613533,244073.3417915553
"15.186.110.41",36506,"244.3.210.197",80,29,17867,14,1408,15,16459,54.458136,0.6661099999999962,16910.119950158478,197673.0570025983
"15.186.110.41",40268,"244.3.210.197",80,17,8166,9,1041,8,7125,88.26487,0.21095099999999434,39478.362273704435,270204.92910676665
"15.186.110.41",40848,"244.3.210.197",80,39,28665,18,1674,21,26991,93.12902,0.696858000000006,19217.688539128325,309859.39746691316
"15.186.110.41",41367,"244.3.210.197",80,17,8159,9,1034,8,7125,97.475074,0.21565199999999152,38358.09545007849,264314.7292860824
"15.186.110.41",46336,"244.3.210.197",80,32,22837,15,1479,17,21358,142.265846,0.6639809999999784,17819.787011978333,257332.6646395086
"15.186.110.41",48987,"244.3.210.197",80,29,18168,14,1489,15,16679,166.703573,0.6285419999999817,18951.79637955832,212288.12076202367
"15.186.110.41",49119,"244.3.210.197",80,26,16668,13,1362,13,15306,167.993692,0.6678759999999784,16314.405668118563,183339.42228797555
"15.186.110.41",51970,"244.3.210.197",80,29,18507,14,1408,15,17099,196.154165,0.6052259999999876,18611.229524178125,226018.04945591037
"15.186.110.132",34909,"41.177.26.91",80,10,2379,5,771,5,1608,33.274109,0.1856209999999976,33228.998874050245,69302.50348829155
"15.186.110.132",35452,"41.177.26.91",80,28,17811,14,1418,14,16393,39.450547,0.3753099999999989,30225.680104447078,349428.4724627651
"15.186.110.132",37046,"41.177.26.91",80,29,18888,14,1496,15,17392,58.045668,0.3745100000000008,31956.4230594643,371514.7793116331
"15.186.110.132",37498,"41.177.26.91",80,29,19479,14,1435,15,18044,63.607371,0.40059200000000317,28657.586771577837,360346.68690338015
"15.186.110.132",38773,"41.177.26.91",80,29,18961,14,1423,15,17538,78.770376,0.3658099999999962,31119.980317651563,383543.36950876535
"15.186.110.132",38832,"41.177.26.91",80,26,15586,13,1366,13,14220,79.350766,0.38198000000001286,28608.827687312507,297816.6396146295
"15.186.110.132",39255,"41.177.26.91",80,29,19510,14,1422,15,18088,84.129484,0.39923100000000034,28494.781216889445,362456.8232426838
"15.186.110.132",40544,"41.177.26.91",80,20,11701,10,1115,10,10586,98.860768,0.3159640000000081,28231.064298463654,268030.5351242478
"15.186.110.132",41442,"41.177.26.91",80,28,17982,14,1468,14,16514,109.454675,0.3888510000000025,30201.799661052497,339749.672753829
"15.186.110.132",41958,"41.177.26.91",80,38,27809,17,1679,21,26130,115.209617,0.5300140000000084,25342.726795895556,394404.6761028891
"15.186.110.132",44059,"41.177.26.91",80,20,11406,10,1091,10,10315,139.556137,0.322638999999981,27051.906310150087,255765.73197910003
"15.186.110.132",45331,"41.177.26.91",80,28,17363,14,1463,14,15900,153.712616,0.3498739999999998,33452.042735384755,363559.452831591
"15.186.110.132",45407,"41.177.26.91",80,28,18170,14,1429,14,16741,154.796816,0.36089300000000435,31676.979049191483,371101.68387859664
"15.186.110.132",46201,"41.177.26.91",80,28,17402,14,1463,14,15939,163.973583,0.394297000000023,29683.208342947873,323390.7435258005
"15.186.110.132",46238,"41.177.26.91",80,28,17846,14,1467,14,16379,164.421602,0.3774870000000021,31089.812364399128,347116.5894454624
"15.186.110.132",46933,"41.177.26.91",80,28,18187,14,1471,14,16716,172.597605,1.4679780000000164,8016.468911659349,91096.73305730638
"15.186.110.132",47324,"41.177.26.91",80,47,38186,20,1882,27,36304,176.626845,0.9577600000000075,15720.013364517084,303240.8954226505
"15.186.110.132",47595,"41.177.26.91",80,26,15565,13,1415,13,14150,179.825885,0.386792000000014,29266.375726487597,292663.7572648759
"15.186.110.132",47800,"41.177.26.91",80,31,20047,15,1532,16,18515,182.373605,0.3723229999999944,32917.654831960914,397826.6182857418
"15.186.110.142",44381,"41.177.26.176",80,24,10826,12,1306,12,9520,4.33615,0.9227860000000003,11322.23505774903,82532.67821575097
"15.186.110.142",44809,"41.177.26.176",80,29,14370,14,1497,15,12873,10.099884,0.9264710000000012,12926.470445378198,111157.28393009589
"15.186.110.142",45060,"41.177.26.176",80,30,12082,15,1535,15,10547,13.932819,1.672851999999999,7340.756982685861,50438.41296181614
"15.186.110.142",45569,"41.177.26.176",80,31,12797,14,1480,17,11317,21.051179,2.220537,5332.043555230108,40772.11953685077
"15.186.110.142",46004,"41.177.26.176",80,32,13399,15,1556,17,11843,27.39707,1.308835000000002,9510.748108050275,72388.03974526953
"15.186.110.142",46600,"41.177.26.176",80,26,13459,13,1369,13,12090,36.317206,1.8700839999999985,5856.4214227810135,51719.60190023554
